Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count,Metadata_Filter_Flag,Academic_Sentence
Traditional_Stats,Psychometrics_Process,Negative,10,empirical_finding,"10 çalışma, geleneksel istatistik yöntemiyle Psychometrics Process için negatif bir eğilim raporlamıştır (Study_Count=10)."
Traditional_Stats,Psychometrics_Process,Null,20,empirical_finding,"20 çalışma, geleneksel istatistik yöntemiyle Psychometrics Process için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=20)."
Traditional_Stats,Psychometrics_Process,Positive,13,empirical_finding,"13 çalışma, geleneksel istatistik yöntemiyle Psychometrics Process için pozitif bir eğilim raporlamıştır (Study_Count=13)."
Traditional_Stats,Reading_Achievement,Negative,18,empirical_finding,"18 çalışma, geleneksel istatistik yöntemiyle Reading Achievement için negatif bir eğilim raporlamıştır (Study_Count=18)."
Traditional_Stats,Reading_Achievement,Null,134,empirical_finding,"134 çalışma, geleneksel istatistik yöntemiyle Reading Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=134)."
Traditional_Stats,Reading_Achievement,Positive,44,empirical_finding,"44 çalışma, geleneksel istatistik yöntemiyle Reading Achievement için pozitif bir eğilim raporlamıştır (Study_Count=44)."
Traditional_Stats,SES,Negative,7,empirical_finding,"7 çalışma, geleneksel istatistik yöntemiyle SES için negatif bir eğilim raporlamıştır (Study_Count=7)."
Traditional_Stats,SES,Null,26,empirical_finding,"26 çalışma, geleneksel istatistik yöntemiyle SES için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=26)."
Traditional_Stats,SES,Positive,10,empirical_finding,"10 çalışma, geleneksel istatistik yöntemiyle SES için pozitif bir eğilim raporlamıştır (Study_Count=10)."
Traditional_Stats,School_Efficiency_Climate,Negative,11,empirical_finding,"11 çalışma, geleneksel istatistik yöntemiyle School Efficiency Climate için negatif bir eğilim raporlamıştır (Study_Count=11)."
Traditional_Stats,School_Efficiency_Climate,Null,22,empirical_finding,"22 çalışma, geleneksel istatistik yöntemiyle School Efficiency Climate için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=22)."
Traditional_Stats,School_Efficiency_Climate,Positive,16,empirical_finding,"16 çalışma, geleneksel istatistik yöntemiyle School Efficiency Climate için pozitif bir eğilim raporlamıştır (Study_Count=16)."
Traditional_Stats,School_Resources,Negative,2,empirical_finding,"2 çalışma, geleneksel istatistik yöntemiyle School Resources için negatif bir eğilim raporlamıştır (Study_Count=2)."
Traditional_Stats,School_Resources,Null,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle School Resources için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Traditional_Stats,Science_Achievement,Negative,8,empirical_finding,"8 çalışma, geleneksel istatistik yöntemiyle Science Achievement için negatif bir eğilim raporlamıştır (Study_Count=8)."
Traditional_Stats,Science_Achievement,Null,81,empirical_finding,"81 çalışma, geleneksel istatistik yöntemiyle Science Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=81)."
Traditional_Stats,Science_Achievement,Positive,39,empirical_finding,"39 çalışma, geleneksel istatistik yöntemiyle Science Achievement için pozitif bir eğilim raporlamıştır (Study_Count=39)."
Traditional_Stats,Self_Efficacy,Negative,5,empirical_finding,"5 çalışma, geleneksel istatistik yöntemiyle Self Efficacy için negatif bir eğilim raporlamıştır (Study_Count=5)."
Traditional_Stats,Self_Efficacy,Null,14,empirical_finding,"14 çalışma, geleneksel istatistik yöntemiyle Self Efficacy için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=14)."
Traditional_Stats,Self_Efficacy,Positive,11,empirical_finding,"11 çalışma, geleneksel istatistik yöntemiyle Self Efficacy için pozitif bir eğilim raporlamıştır (Study_Count=11)."
Traditional_Stats,Student_Motivation,Negative,1,empirical_finding,"1 çalışma, geleneksel istatistik yöntemiyle Student Motivation için negatif bir eğilim raporlamıştır (Study_Count=1)."
Traditional_Stats,Student_Motivation,Null,6,empirical_finding,"6 çalışma, geleneksel istatistik yöntemiyle Student Motivation için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=6)."
Traditional_Stats,Student_Motivation,Positive,8,empirical_finding,"8 çalışma, geleneksel istatistik yöntemiyle Student Motivation için pozitif bir eğilim raporlamıştır (Study_Count=8)."
Traditional_Stats,System_Policy,Null,8,empirical_finding,"8 çalışma, geleneksel istatistik yöntemiyle System Policy için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=8)."
Traditional_Stats,System_Policy,Positive,7,empirical_finding,"7 çalışma, geleneksel istatistik yöntemiyle System Policy için pozitif bir eğilim raporlamıştır (Study_Count=7)."
Traditional_Stats,Teacher_Efficacy_Workforce,Negative,7,empirical_finding,"7 çalışma, geleneksel istatistik yöntemiyle Teacher Efficacy Workforce için negatif bir eğilim raporlamıştır (Study_Count=7)."
Traditional_Stats,Teacher_Efficacy_Workforce,Null,14,empirical_finding,"14 çalışma, geleneksel istatistik yöntemiyle Teacher Efficacy Workforce için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=14)."
Traditional_Stats,Teacher_Efficacy_Workforce,Positive,23,empirical_finding,"23 çalışma, geleneksel istatistik yöntemiyle Teacher Efficacy Workforce için pozitif bir eğilim raporlamıştır (Study_Count=23)."
Traditional_Stats,Teacher_Quality_Practices,Negative,5,empirical_finding,"5 çalışma, geleneksel istatistik yöntemiyle Teacher Quality Practices için negatif bir eğilim raporlamıştır (Study_Count=5)."
Traditional_Stats,Teacher_Quality_Practices,Null,8,empirical_finding,"8 çalışma, geleneksel istatistik yöntemiyle Teacher Quality Practices için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=8)."
Traditional_Stats,Teacher_Quality_Practices,Positive,13,empirical_finding,"13 çalışma, geleneksel istatistik yöntemiyle Teacher Quality Practices için pozitif bir eğilim raporlamıştır (Study_Count=13)."
Traditional_Stats,Wellbeing_Mental_Health,Negative,6,empirical_finding,"6 çalışma, geleneksel istatistik yöntemiyle Wellbeing Mental Health için negatif bir eğilim raporlamıştır (Study_Count=6)."
Traditional_Stats,Wellbeing_Mental_Health,Null,4,empirical_finding,"4 çalışma, geleneksel istatistik yöntemiyle Wellbeing Mental Health için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=4)."
Traditional_Stats,Wellbeing_Mental_Health,Positive,4,empirical_finding,"4 çalışma, geleneksel istatistik yöntemiyle Wellbeing Mental Health için pozitif bir eğilim raporlamıştır (Study_Count=4)."
Traditional_Stats,Wellbeing_Psychological,Negative,13,empirical_finding,"13 çalışma, geleneksel istatistik yöntemiyle Wellbeing Psychological için negatif bir eğilim raporlamıştır (Study_Count=13)."
Traditional_Stats,Wellbeing_Psychological,Null,18,empirical_finding,"18 çalışma, geleneksel istatistik yöntemiyle Wellbeing Psychological için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=18)."
Traditional_Stats,Wellbeing_Psychological,Positive,18,empirical_finding,"18 çalışma, geleneksel istatistik yöntemiyle Wellbeing Psychological için pozitif bir eğilim raporlamıştır (Study_Count=18)."
